name,address
activate,70.167.166.61
intents,66.162.150.190
license,70.167.166.60
meds,70.167.166.127
shopmanagement,70.167.166.143
shopstream,70.167.166.112
transfer,70.167.166.106
util,70.167.166.147
update,70.167.166.167
vintage,70.167.166.108
auth,66.162.150.160
data,70.167.166.162
myshop,66.162.150.202
www,70.167.166.49
performancecenter,70.167.166.17
.,70.167.166.49
ia,70.167.166.107
daws,66.162.150.173
aui,66.162.150.192
profilemanager,70.167.166.116
